"Type","Group","Name","Version","Licenses","Purl"
"library","androidx.activity","activity","1.13.0","Apache-2.0","pkg:maven/androidx.activity/activity@1.13.0?type=aar"
"library","androidx.activity","activity-compose","1.13.0","Apache-2.0","pkg:maven/androidx.activity/activity-compose@1.13.0?type=aar"
"library","androidx.activity","activity-ktx","1.13.0","Apache-2.0","pkg:maven/androidx.activity/activity-ktx@1.13.0?type=aar"
"library","androidx.annotation","annotation","1.9.1","Apache-2.0","pkg:maven/androidx.annotation/annotation@1.9.1?type=pom"
"library","androidx.annotation","annotation-experimental","1.4.1","Apache-2.0","pkg:maven/androidx.annotation/annotation-experimental@1.4.1?type=aar"
"library","androidx.annotation","annotation-jvm","1.9.1","Apache-2.0","pkg:maven/androidx.annotation/annotation-jvm@1.9.1?type=jar"
"library","androidx.arch.core","core-common","2.2.0","Apache-2.0","pkg:maven/androidx.arch.core/core-common@2.2.0?type=jar"
"library","androidx.arch.core","core-runtime","2.2.0","Apache-2.0","pkg:maven/androidx.arch.core/core-runtime@2.2.0?type=aar"
"library","androidx.autofill","autofill","1.0.0","Apache-2.0","pkg:maven/androidx.autofill/autofill@1.0.0?type=aar"
"library","androidx.collection","collection","1.5.0","Apache-2.0","pkg:maven/androidx.collection/collection@1.5.0?type=pom"
"library","androidx.collection","collection-jvm","1.5.0","Apache-2.0","pkg:maven/androidx.collection/collection-jvm@1.5.0?type=jar"
"library","androidx.collection","collection-ktx","1.5.0","Apache-2.0","pkg:maven/androidx.collection/collection-ktx@1.5.0?type=jar"
"library","androidx.compose","compose-bom","2026.08.00","Apache-2.0","pkg:maven/androidx.compose/compose-bom@2026.08.00?type=pom"
"library","androidx.compose.animation","animation","1.12.0","Apache-2.0","pkg:maven/androidx.compose.animation/animation@1.12.0?type=pom"
"library","androidx.compose.animation","animation-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.animation/animation-android@1.12.0?type=aar"
"library","androidx.compose.animation","animation-core","1.12.0","Apache-2.0","pkg:maven/androidx.compose.animation/animation-core@1.12.0?type=pom"
"library","androidx.compose.animation","animation-core-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.animation/animation-core-android@1.12.0?type=aar"
"library","androidx.compose.foundation","foundation","1.12.0","Apache-2.0","pkg:maven/androidx.compose.foundation/foundation@1.12.0?type=pom"
"library","androidx.compose.foundation","foundation-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.foundation/foundation-android@1.12.0?type=aar"
"library","androidx.compose.foundation","foundation-layout","1.12.0","Apache-2.0","pkg:maven/androidx.compose.foundation/foundation-layout@1.12.0?type=pom"
"library","androidx.compose.foundation","foundation-layout-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.foundation/foundation-layout-android@1.12.0?type=aar"
"library","androidx.compose.material","material-icons-core","1.7.8","Apache-2.0","pkg:maven/androidx.compose.material/material-icons-core@1.7.8?type=pom"
"library","androidx.compose.material","material-icons-core-android","1.7.8","Apache-2.0","pkg:maven/androidx.compose.material/material-icons-core-android@1.7.8?type=aar"
"library","androidx.compose.material","material-ripple","1.12.0","Apache-2.0","pkg:maven/androidx.compose.material/material-ripple@1.12.0?type=pom"
"library","androidx.compose.material","material-ripple-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.material/material-ripple-android@1.12.0?type=aar"
"library","androidx.compose.material3","material3","1.4.0","Apache-2.0","pkg:maven/androidx.compose.material3/material3@1.4.0?type=pom"
"library","androidx.compose.material3","material3-android","1.4.0","Apache-2.0","pkg:maven/androidx.compose.material3/material3-android@1.4.0?type=aar"
"library","androidx.compose.runtime","runtime","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime@1.12.0?type=pom"
"library","androidx.compose.runtime","runtime-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime-android@1.12.0?type=aar"
"library","androidx.compose.runtime","runtime-annotation","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime-annotation@1.12.0?type=pom"
"library","androidx.compose.runtime","runtime-annotation-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime-annotation-android@1.12.0?type=aar"
"library","androidx.compose.runtime","runtime-retain","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime-retain@1.12.0?type=pom"
"library","androidx.compose.runtime","runtime-retain-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime-retain-android@1.12.0?type=aar"
"library","androidx.compose.runtime","runtime-saveable","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime-saveable@1.12.0?type=pom"
"library","androidx.compose.runtime","runtime-saveable-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.runtime/runtime-saveable-android@1.12.0?type=aar"
"library","androidx.compose.ui","ui","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui@1.12.0?type=pom"
"library","androidx.compose.ui","ui-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-android@1.12.0?type=aar"
"library","androidx.compose.ui","ui-geometry","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-geometry@1.12.0?type=pom"
"library","androidx.compose.ui","ui-geometry-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-geometry-android@1.12.0?type=aar"
"library","androidx.compose.ui","ui-graphics","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-graphics@1.12.0?type=pom"
"library","androidx.compose.ui","ui-graphics-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-graphics-android@1.12.0?type=aar"
